"","rel_fc_126","rel_fc_127L","rel_fc_127H","rel_fc_128L","rel_fc_128H","rel_fc_129L","rel_fc_129H","rel_fc_130L","rel_fc_130H","rel_fc_131L"
"A0AVI4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0AVT1",0.999999963458176,1.15308160671392,1.12176797745605,1.20915878116818,0.977172149088679,0.711023023618585,0.37048482273669,0.209854239162498,0.0626456890611424,0.0373170737109527
"A0FGR8",0.999999963458176,1.15224114636295,1.07402720029149,1.00102394821513,1.12551709087115,0.573465025980904,0.227707822797011,0.137357209527589,0.0362650769702398,0.0593724653109401
"A0JLT2",0.999999963458176,0.999997019524198,0.999849978279715,0.997730081281908,0.975603254165172,0.812002627997595,0.494041597660147,0.263519939616499,0.206741082729776,0.196228053631153
