"","rel_fc_126","rel_fc_127L","rel_fc_127H","rel_fc_128L","rel_fc_128H","rel_fc_129L","rel_fc_129H","rel_fc_130L","rel_fc_130H","rel_fc_131L"
"A0AVI4",0.999999963458176,0.929348930685009,1.08617411039155,0.973414460742465,1.12055821580218,0.559652399708574,0.68312504190672,0.369284301226691,0.347961179881304,0.42361406268463
"A0AVT1",0.999999963458176,0.985492754858663,1.11527632675279,0.916844834143051,0.722934306807777,0.616117910532839,0.251371655157308,0.130606827285587,0.0373244348614971,0.0642335649813428
"A0FGR8",0.999999963458176,0.988358363335277,1.05152781255887,0.89078080337643,0.829021152537273,0.602235108288022,0.15101292498113,0.0827172718438419,0.019688426550795,0.0175801714519957
"A0JLT2",0.999999963458176,0.999997019524198,0.999849978279715,0.997730081281908,0.975603254165172,0.812002627997595,0.494041597660147,0.263519939616499,0.206741082729776,0.196228053631153
