"","rel_fc_126","rel_fc_127L","rel_fc_127H","rel_fc_128L","rel_fc_128H","rel_fc_129L","rel_fc_129H","rel_fc_130L","rel_fc_130H","rel_fc_131L"
"A0AVI4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0AVT1",0.999999963458176,1.1685605591154,1.11435430364454,1.04452008620763,0.723816209700793,0.555799455147241,0.34644513327284,0.136341605654213,0.0753816953570398,0.026339251392953
"A0FGR8",0.999999963458176,1.31513267773941,1.08985148927846,0.857204167108353,0.812780011178431,0.463575823969919,0.166980128473191,0.0625335414235817,0.0497345759622778,0.0270309218807758
"A0JLT2",0.999999963458176,0.999997019524198,0.999849978279715,0.997730081281908,0.975603254165172,0.812002627997595,0.494041597660147,0.263519939616499,0.206741082729776,0.196228053631153
